subset,dataset,benchmark_profile,approx_isl,output_len,concurrency,num_prompts,successful_requests,failed_requests,success_rate,duration_s,request_throughput_rps,input_tps,output_tps,total_tps,peak_output_tps,peak_concurrent_requests,avg_input_tokens_per_request,avg_output_tokens_per_request,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2el_p50_ms,e2el_p95_ms,e2el_p99_ms,source_json
cache65k,random_cache_stress,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,65536,512,1,4,4,0,1.0,17.12,0.234,15317.1,119.6,15436.7,95.0,2.0,65546.8,512.0,2236.9,2228.9,2266.7,2271.8,4.0,4.01,4.2,4.21,10.74,11.07,11.33,4271.0,4411.8,4423.7,/home/jules/bench-moe-kvfp8/results/kv_cache65k_c1.json
cache65k,random_cache_stress,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,65536,512,2,8,8,0,1.0,19.66,0.407,26668.7,208.3,26877.0,176.0,3.0,65546.4,512.0,1517.2,1630.2,2344.9,2347.7,6.42,7.26,7.95,7.97,11.46,12.68,198.98,4507.4,6400.7,6418.6,/home/jules/bench-moe-kvfp8/results/kv_cache65k_c2.json
cache65k,random_cache_stress,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,65536,512,4,16,16,0,1.0,30.01,0.533,34943.5,273.0,35216.5,272.0,7.0,65546.4,512.0,2402.7,1964.3,6155.3,6163.7,9.79,8.98,16.52,16.62,14.83,163.74,236.87,7201.1,10863.2,10878.0,/home/jules/bench-moe-kvfp8/results/kv_cache65k_c4.json
cache131k,random_cache_stress,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,131072,256,1,3,3,0,1.0,17.71,0.169,22208.9,43.4,22252.3,77.0,2.0,131083.0,256.0,4803.8,4787.7,4838.0,4842.5,4.31,4.3,4.36,4.36,11.57,11.85,12.06,5892.8,5924.3,5927.1,/home/jules/bench-moe-kvfp8/results/kv_cache131k_c1.json
cache131k,random_cache_stress,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,131072,256,2,6,6,0,1.0,18.28,0.328,43028.1,84.0,43112.2,132.0,4.0,131082.5,256.0,3698.0,3302.8,7612.1,8240.5,9.38,5.13,19.38,19.81,12.47,16.67,414.09,6171.0,9708.0,9774.9,/home/jules/bench-moe-kvfp8/results/kv_cache131k_c2.json
cache256k,random_cache_stress,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,255488,128,1,2,2,0,1.0,29.67,0.067,17220.6,8.6,17229.3,47.0,2.0,255499.5,128.0,14306.8,14306.8,14308.0,14308.1,4.17,4.17,4.32,4.33,13.08,13.51,14.12,14836.5,14854.2,14855.7,/home/jules/bench-moe-kvfp8/results/kv_cache256k_c1.json
throughput_1k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,1024,512,1,20,20,0,1.0,42.18,0.474,505.0,242.8,747.8,103.0,2.0,1065.0,512.0,122.3,104.9,128.1,381.1,3.89,3.96,4.12,4.15,9.89,10.38,10.66,2127.4,2220.9,2499.3,/home/jules/bench-moe-kvfp8/results/speed_throughput_1k_c1.json
throughput_1k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,1024,512,4,80,80,0,1.0,60.16,1.33,1437.2,680.9,2118.1,312.0,7.0,1080.7,512.0,127.8,123.0,132.6,222.3,5.56,5.61,6.07,6.44,13.01,13.52,97.32,2996.1,3223.0,3412.9,/home/jules/bench-moe-kvfp8/results/speed_throughput_1k_c4.json
throughput_1k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,1024,512,8,160,160,0,1.0,69.49,2.302,2496.2,1178.8,3675.1,592.0,14.0,1084.2,512.0,142.8,126.0,214.6,261.6,6.44,6.47,7.33,7.7,13.84,14.63,98.92,3435.0,3888.1,4061.4,/home/jules/bench-moe-kvfp8/results/speed_throughput_1k_c8.json
throughput_1k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,1024,512,16,320,320,0,1.0,91.94,3.481,3875.3,1782.1,5657.4,992.0,25.0,1113.4,512.0,195.9,132.3,482.7,1101.6,8.48,8.57,9.63,10.02,16.28,97.11,100.74,4550.5,5186.5,5380.1,/home/jules/bench-moe-kvfp8/results/speed_throughput_1k_c16.json
throughput_1k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,1024,512,32,640,640,0,1.0,125.79,5.088,5589.4,2605.0,8194.4,1664.0,48.0,1098.6,512.0,197.7,141.5,308.6,872.8,11.8,12.02,13.4,13.93,20.07,99.32,102.12,6312.5,7019.2,7266.2,/home/jules/bench-moe-kvfp8/results/speed_throughput_1k_c32.json
throughput_1k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,1024,512,64,1280,1280,0,1.0,178.47,7.172,7826.3,3672.0,11498.3,2560.0,85.0,1091.2,512.0,240.7,225.0,347.3,1132.2,16.81,17.18,19.32,20.08,25.67,103.4,105.99,8978.4,10080.6,10457.5,/home/jules/bench-moe-kvfp8/results/speed_throughput_1k_c64.json
throughput_1k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,1024,512,128,2560,2560,0,1.0,261.55,9.788,10665.8,5011.4,15677.3,3584.0,168.0,1089.7,512.0,325.7,254.3,380.6,2189.1,24.74,25.25,28.81,29.89,37.76,109.22,112.57,13164.9,14973.8,15533.5,/home/jules/bench-moe-kvfp8/results/speed_throughput_1k_c128.json
throughput_1k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,1024,512,256,5120,5120,0,1.0,429.99,11.907,13030.8,6096.5,19127.3,3442.0,301.0,1094.4,512.0,474.4,343.5,620.0,4368.3,40.81,40.99,45.45,46.91,105.94,123.57,153.17,21375.5,23819.9,25178.0,/home/jules/bench-moe-kvfp8/results/speed_throughput_1k_c256.json
throughput_2k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,2048,512,1,20,20,0,1.0,41.54,0.481,1030.7,246.5,1277.2,102.0,2.0,2140.6,512.0,110.5,110.8,113.0,113.1,3.85,3.9,4.21,4.26,9.92,10.26,10.5,2101.6,2262.9,2282.4,/home/jules/bench-moe-kvfp8/results/speed_throughput_2k_c1.json
throughput_2k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,2048,512,4,80,80,0,1.0,60.51,1.322,2845.0,676.9,3521.9,308.0,8.0,2151.9,512.0,146.2,137.4,224.2,228.9,5.55,5.59,6.16,6.28,13.18,13.78,99.03,2997.1,3313.7,3371.1,/home/jules/bench-moe-kvfp8/results/speed_throughput_2k_c4.json
throughput_2k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,2048,512,8,160,160,0,1.0,69.67,2.297,4954.7,1175.9,6130.6,576.0,14.0,2157.3,512.0,145.3,130.1,257.1,362.2,6.47,6.48,7.32,7.54,14.0,15.08,101.34,3447.4,3922.1,3978.7,/home/jules/bench-moe-kvfp8/results/speed_throughput_2k_c8.json
throughput_2k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,2048,512,16,320,320,0,1.0,92.99,3.441,7431.2,1761.9,9193.1,992.0,25.0,2159.5,512.0,175.7,136.5,302.9,616.3,8.65,8.66,9.83,10.14,16.53,99.5,103.44,4594.0,5196.2,5404.7,/home/jules/bench-moe-kvfp8/results/speed_throughput_2k_c16.json
throughput_2k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,2048,512,32,640,640,0,1.0,129.32,4.949,10760.4,2533.9,13294.3,1600.0,46.0,2174.3,512.0,220.2,155.3,394.9,1169.2,12.1,12.2,13.97,14.39,20.7,102.86,105.56,6417.6,7320.2,7544.0,/home/jules/bench-moe-kvfp8/results/speed_throughput_2k_c32.json
throughput_2k,speed_bench,raw_vllm_metrics_v1_qwen36_35b_a3b_fp8_kvfp8,2048,512,64,1280,1280,0,1.0,184.14,6.951,15027.8,3559.1,18586.9,2496.0,83.0,2161.9,512.0,283.6,228.8,534.5,2068.1,17.29,17.47,19.72,20.56,26.57,105.16,113.0,9182.1,10372.0,10895.3,/home/jules/bench-moe-kvfp8/results/speed_throughput_2k_c64.json
