subset,dataset,approx_isl,output_len,concurrency,successful_requests,duration_s,request_throughput_rps,goodput_rps,slo_attainment,input_tps,output_tps,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p95_ms,e2el_p95_ms,slo_ttft_ms,slo_tpot_ms,source_json
cache65k,random_cache_stress,65536,0,1,4,13.95,0.287,0.287,1.0,18799.0,146.8,1801.7,1834.2,1838.6,3.13,3.89,4.0,7.96,3824.1,4000,300,/home/jules/bench-moe/results/kv_cache65k_c1.json
cache65k,random_cache_stress,65536,0,2,8,20.57,0.389,0.389,1.0,25490.2,199.1,2790.5,3654.7,3677.6,4.56,5.94,6.0,8.83,5435.2,4000,300,/home/jules/bench-moe/results/kv_cache65k_c2.json
cache65k,random_cache_stress,65536,0,4,16,33.84,0.473,0.236,0.5,30987.8,242.1,4398.9,6483.7,6588.3,7.92,12.26,12.31,144.31,8942.4,4000,300,/home/jules/bench-moe/results/kv_cache65k_c4.json
cache131k,random_cache_stress,131072,0,1,3,16.69,0.18,0.18,1.0,23568.2,46.0,4832.6,4850.3,4851.8,2.89,3.07,3.08,8.57,5616.4,8000,400,/home/jules/bench-moe/results/kv_cache131k_c1.json
cache131k,random_cache_stress,131072,0,2,6,29.39,0.204,0.102,0.5,26761.5,52.3,6995.6,9079.1,9113.8,10.8,18.55,18.58,237.62,9912.0,8000,400,/home/jules/bench-moe/results/kv_cache131k_c2.json
cache256k,random_cache_stress,255488,0,1,2,27.85,0.072,0.072,1.0,18348.7,9.2,13613.2,13647.5,13650.6,2.45,2.49,2.49,9.65,13953.9,15000,500,/home/jules/bench-moe/results/kv_cache256k_c1.json
throughput_1k,speed_bench,1024,0,1,20,31.64,0.632,0.632,1.0,673.1,323.6,108.8,111.5,111.5,2.91,3.1,3.14,7.53,1689.4,500,50,/home/jules/bench-moe/results/speed_throughput_1k_c1.json
throughput_1k,speed_bench,1024,0,4,80,48.49,1.65,1.567,0.95,1783.0,844.7,136.1,283.4,1103.9,4.33,4.84,4.96,10.56,2736.3,500,50,/home/jules/bench-moe/results/speed_throughput_1k_c4.json
throughput_1k,speed_bench,1024,0,8,160,59.43,2.692,2.692,1.0,2919.0,1378.5,133.8,247.0,305.7,5.51,6.33,6.57,11.78,3372.3,500,50,/home/jules/bench-moe/results/speed_throughput_1k_c8.json
throughput_1k,speed_bench,1024,0,16,320,81.6,3.922,3.922,1.0,4366.4,2008.0,134.3,327.2,489.3,7.67,8.55,8.86,111.52,4532.4,500,50,/home/jules/bench-moe/results/speed_throughput_1k_c16.json
throughput_1k,speed_bench,1024,0,32,640,116.56,5.491,5.285,0.9625,6031.8,2811.2,147.7,342.2,886.2,11.15,12.56,13.07,117.26,6607.6,500,50,/home/jules/bench-moe/results/speed_throughput_1k_c32.json
throughput_1k,speed_bench,1024,0,64,1280,168.12,7.614,7.328,0.9625,8308.5,3898.3,240.7,366.4,1076.0,16.26,18.46,18.97,124.01,9619.9,500,50,/home/jules/bench-moe/results/speed_throughput_1k_c64.json
throughput_1k,speed_bench,1024,0,128,2560,249.96,10.242,9.754,0.9523,11160.3,5243.7,290.0,428.9,2035.2,24.21,27.92,29.2,133.75,14538.3,500,50,/home/jules/bench-moe/results/speed_throughput_1k_c128.json
throughput_1k,speed_bench,1024,0,256,5120,455.67,11.236,10.444,0.9295,12296.5,5753.0,364.1,545.4,4065.0,43.7,48.34,49.87,125.31,25225.6,500,50,/home/jules/bench-moe/results/speed_throughput_1k_c256.json
throughput_2k,speed_bench,2048,0,1,20,32.1,0.623,0.623,1.0,1333.8,319.0,112.9,114.8,117.7,2.95,3.11,3.13,7.54,1702.1,500,50,/home/jules/bench-moe/results/speed_throughput_2k_c1.json
throughput_2k,speed_bench,2048,0,4,80,47.27,1.692,1.692,1.0,3641.6,866.5,133.1,233.4,237.1,4.3,4.85,5.02,10.41,2620.7,500,50,/home/jules/bench-moe/results/speed_throughput_2k_c4.json
throughput_2k,speed_bench,2048,0,8,160,59.81,2.675,2.675,1.0,5771.5,1369.7,141.7,249.4,373.0,5.49,6.22,6.58,11.82,3342.4,500,50,/home/jules/bench-moe/results/speed_throughput_2k_c8.json
throughput_2k,speed_bench,2048,0,16,320,81.67,3.918,3.82,0.975,8461.3,2006.1,149.9,346.6,593.3,7.6,8.53,8.96,112.57,4559.6,500,50,/home/jules/bench-moe/results/speed_throughput_2k_c16.json
