subset,dataset,approx_isl,output_len,concurrency,successful_requests,duration_s,request_throughput_rps,goodput_rps,slo_attainment,input_tps,output_tps,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p95_ms,e2el_p95_ms,slo_ttft_ms,slo_tpot_ms,source_json
cache65k,random_cache_stress,65536,0,1,4,36.69,0.109,0.0,0.0,7146.2,55.8,5278.4,5297.8,5300.0,7.66,7.72,7.72,14.75,9242.7,4000,300,/home/jules/bench/results/kv_cache65k_c1.json
cache65k,random_cache_stress,65536,0,2,8,57.85,0.138,0.0,0.0,9063.6,70.8,8225.7,10472.7,10576.4,12.2,16.53,16.53,15.93,14765.9,4000,300,/home/jules/bench/results/kv_cache65k_c2.json
cache65k,random_cache_stress,65536,0,4,16,100.46,0.159,0.0,0.0,10439.6,81.5,11611.5,20380.1,20494.8,26.31,37.22,37.39,45.03,29734.6,4000,300,/home/jules/bench/results/kv_cache65k_c4.json
cache131k,random_cache_stress,131072,0,1,3,46.36,0.065,0.0,0.0,8482.1,16.6,13401.2,13424.6,13426.6,8.07,8.1,8.1,15.65,15490.1,8000,400,/home/jules/bench/results/kv_cache131k_c1.json
cache131k,random_cache_stress,131072,0,2,6,85.33,0.07,0.0,0.0,9217.2,18.0,20134.2,26308.4,26338.8,32.36,55.93,55.97,588.44,28575.4,8000,400,/home/jules/bench/results/kv_cache131k_c2.json
cache256k,random_cache_stress,255488,0,1,2,75.04,0.027,0.0,0.0,6809.6,3.4,36514.2,36548.1,36551.1,7.92,8.05,8.06,17.41,37570.7,15000,500,/home/jules/bench/results/kv_cache256k_c1.json
throughput_1k,speed_bench,1024,0,1,20,74.61,0.268,0.268,1.0,285.5,137.2,88.9,91.8,92.4,7.14,7.33,7.36,13.82,3836.5,500,50,/home/jules/bench/results/speed_throughput_1k_c1.json
throughput_1k,speed_bench,1024,0,4,80,86.94,0.92,0.874,0.95,994.4,471.1,122.2,411.9,1955.9,7.95,8.48,8.91,14.72,4737.8,500,50,/home/jules/bench/results/speed_throughput_1k_c4.json
throughput_1k,speed_bench,1024,0,8,160,94.62,1.691,1.606,0.95,1833.3,865.8,124.6,308.9,692.2,8.9,9.48,9.61,15.74,5045.6,500,50,/home/jules/bench/results/speed_throughput_1k_c8.json
throughput_1k,speed_bench,1024,0,16,320,116.21,2.754,2.607,0.9469,3065.8,1409.9,164.2,533.1,1100.1,10.92,11.91,12.44,18.16,6296.7,500,50,/home/jules/bench/results/speed_throughput_1k_c16.json
throughput_1k,speed_bench,1024,0,32,640,151.2,4.233,3.902,0.9219,4650.0,2167.2,230.1,632.2,2171.6,14.22,15.54,16.08,106.82,8361.4,500,50,/home/jules/bench/results/speed_throughput_1k_c32.json
throughput_1k,speed_bench,1024,0,64,1280,231.48,5.53,4.553,0.8234,6034.2,2831.2,320.4,868.3,3800.1,21.74,23.81,25.23,116.15,12767.7,500,50,/home/jules/bench/results/speed_throughput_1k_c64.json
throughput_1k,speed_bench,1024,0,128,2560,402.72,6.357,2.811,0.4422,6926.9,3254.7,531.6,1664.5,7151.1,38.3,41.54,43.32,205.36,22300.7,500,50,/home/jules/bench/results/speed_throughput_1k_c128.json
throughput_1k,speed_bench,1024,0,256,5120,782.38,6.544,0.0,0.0,7161.7,3350.6,4379.0,19507.2,21870.1,62.39,68.23,71.18,337.69,52248.5,500,50,/home/jules/bench/results/speed_throughput_1k_c256.json
throughput_2k,speed_bench,2048,0,1,20,75.72,0.264,0.264,1.0,565.4,135.2,143.6,146.7,151.6,7.12,7.33,7.38,13.85,3890.6,500,50,/home/jules/bench/results/speed_throughput_2k_c1.json
throughput_2k,speed_bench,2048,0,4,80,87.74,0.912,0.9,0.9875,1962.2,466.9,162.4,300.6,466.8,8.24,8.86,9.0,14.98,4721.3,500,50,/home/jules/bench/results/speed_throughput_2k_c4.json
throughput_2k,speed_bench,2048,0,8,160,101.78,1.572,1.493,0.95,3391.5,804.9,167.2,386.1,943.8,9.51,10.33,10.68,15.97,5557.1,500,50,/home/jules/bench/results/speed_throughput_2k_c8.json
throughput_2k,speed_bench,2048,0,16,320,131.89,2.426,2.199,0.9062,5239.7,1242.3,285.8,599.5,1915.1,12.21,13.46,13.94,59.05,7223.4,500,50,/home/jules/bench/results/speed_throughput_2k_c16.json
throughput_2k,speed_bench,2048,0,32,640,187.91,3.406,2.634,0.7734,7405.2,1743.8,312.7,1132.9,3626.4,17.63,19.55,20.94,109.41,10642.3,500,50,/home/jules/bench/results/speed_throughput_2k_c32.json
throughput_2k,speed_bench,2048,0,64,1280,311.39,4.111,2.026,0.493,8886.5,2104.6,505.4,2139.0,6659.3,29.29,32.46,34.16,201.78,17683.2,500,50,/home/jules/bench/results/speed_throughput_2k_c64.json
throughput_2k,speed_bench,2048,0,128,2560,564.87,4.532,0.051,0.0113,9788.9,2320.4,828.4,2403.3,13211.0,53.4,58.88,61.12,340.56,32029.8,500,50,/home/jules/bench/results/speed_throughput_2k_c128.json
throughput_8k,speed_bench,8192,0,1,12,49.92,0.24,0.24,1.0,2048.5,123.1,515.3,554.5,555.4,7.03,7.44,7.45,13.81,4329.8,1000,100,/home/jules/bench/results/speed_throughput_8k_c1.json
throughput_8k,speed_bench,8192,0,2,24,57.64,0.416,0.382,0.9167,3580.4,213.2,579.4,1028.0,1050.2,8.22,8.75,8.82,14.24,5143.7,1000,100,/home/jules/bench/results/speed_throughput_8k_c2.json
throughput_8k,speed_bench,8192,0,4,48,72.04,0.666,0.416,0.625,5683.2,341.1,595.3,1680.5,2042.2,10.4,10.91,11.51,15.02,6862.8,1000,100,/home/jules/bench/results/speed_throughput_8k_c4.json
throughput_8k,speed_bench,8192,0,8,96,99.56,0.964,0.352,0.3646,8205.7,493.7,1062.1,2712.2,4046.5,14.13,16.5,18.5,16.62,10313.6,1000,100,/home/jules/bench/results/speed_throughput_8k_c8.json
throughput_8k,speed_bench,8192,0,16,192,156.29,1.228,0.339,0.276,10453.9,629.0,1281.8,3881.7,7513.1,22.67,27.52,29.02,270.52,15887.3,1000,100,/home/jules/bench/results/speed_throughput_8k_c16.json
throughput_8k,speed_bench,8192,0,32,151,120.1,1.257,0.075,0.0596,10709.4,643.7,2754.7,13092.0,15942.4,38.72,46.84,48.9,483.98,31429.7,1000,100,/home/jules/bench/results/speed_throughput_8k_c32.json
throughput_16k,speed_bench,16384,0,1,10,47.58,0.21,0.21,1.0,3507.1,107.6,1065.2,1156.2,1202.3,7.23,7.48,7.52,13.91,4872.8,2000,200,/home/jules/bench/results/speed_throughput_16k_c1.json
throughput_16k,speed_bench,16384,0,2,20,60.3,0.332,0.265,0.8,5580.5,169.8,1169.8,2529.5,2623.0,9.29,10.03,10.2,14.48,6819.1,2000,200,/home/jules/bench/results/speed_throughput_16k_c2.json
throughput_16k,speed_bench,16384,0,4,40,82.44,0.485,0.34,0.7,8153.5,248.4,1543.4,3772.1,4196.8,12.9,14.43,15.71,15.62,10472.3,2000,200,/home/jules/bench/results/speed_throughput_16k_c4.json
throughput_16k,speed_bench,16384,0,8,80,127.63,0.627,0.306,0.4875,10520.0,320.9,2180.6,5224.7,8055.3,20.65,26.81,27.32,262.39,17095.7,2000,200,/home/jules/bench/results/speed_throughput_16k_c8.json
throughput_16k,speed_bench,16384,0,16,160,219.2,0.73,0.269,0.3688,12304.0,373.7,2815.1,9049.5,15219.7,37.33,43.83,47.43,504.27,27509.7,2000,200,/home/jules/bench/results/speed_throughput_16k_c16.json
throughput_32k,speed_bench,32768,0,1,8,48.18,0.166,0.0,0.0,5533.0,85.0,2267.1,2384.5,2409.5,7.26,7.58,7.62,14.26,6135.1,2000,200,/home/jules/bench/results/speed_throughput_32k_c1.json
throughput_32k,speed_bench,32768,0,2,16,67.71,0.236,0.0,0.0,7901.8,121.0,3020.6,4475.4,4527.1,10.49,12.18,12.26,15.11,9728.4,2000,200,/home/jules/bench/results/speed_throughput_32k_c2.json
throughput_32k,speed_bench,32768,0,4,32,106.77,0.3,0.0,0.0,10070.8,153.5,2832.0,7097.5,8585.1,20.77,24.5,24.65,18.33,16867.0,2000,200,/home/jules/bench/results/speed_throughput_32k_c4.json
throughput_32k,speed_bench,32768,0,8,64,183.13,0.349,0.0,0.0,11759.9,178.9,4912.5,11759.5,16772.8,35.07,46.09,49.9,529.83,29712.8,2000,200,/home/jules/bench/results/speed_throughput_32k_c8.json
