member,bytes,sha256,extracted
Consultry_Handover_Paket_2026-08-26/00_START_HIER/Consultry_Handover_Final.html,33685,70a4b9d390aa19a2ecf54c79b60b7e8a782aa834285a9841ae69bf4e4588de3a,archive/handover-2026-08-26/00_START_HIER/Consultry_Handover_Final.html
Consultry_Handover_Paket_2026-08-26/00_START_HIER/Consultry_Handover_Final.md,24818,558e59ceca390d7ff75e36ebc722a25a2db8ac9359ab044296313b22d54eb075,archive/handover-2026-08-26/00_START_HIER/Consultry_Handover_Final.md
Consultry_Handover_Paket_2026-08-26/00_START_HIER/README.txt,1539,17309a0aefe92872255170fe3e690a996af9155bcd8532d196b256c5294ae855,archive/handover-2026-08-26/00_START_HIER/README.txt
Consultry_Handover_Paket_2026-08-26/03_Messaging_und_Vertrieb/Consultry_Messaging_Memo_3_Ideen.html,19844,cc26e79976ff6a282f7d087e80a567f1c4a9111659adb76c2b54135b5c860450,archive/handover-2026-08-26/03_Messaging_und_Vertrieb/Consultry_Messaging_Memo_3_Ideen.html
Consultry_Handover_Paket_2026-08-26/03_Messaging_und_Vertrieb/Consultry_BSS_Kurzpitch.html,147888,3d7fb96baa51486b5483626998d0a37f457e0c414f8fe362a5b196ab81f2225c,archive/handover-2026-08-26/03_Messaging_und_Vertrieb/Consultry_BSS_Kurzpitch.html
Consultry_Handover_Paket_2026-08-26/03_Messaging_und_Vertrieb/Consultry_Fragebogen_Krallmann_VP.html,22385,4ac3b99cbbb43bcd7c124cb709cfbf1821be23c5466e6687fc94c5f4531ba041,archive/handover-2026-08-26/03_Messaging_und_Vertrieb/Consultry_Fragebogen_Krallmann_VP.html
Consultry_Handover_Paket_2026-08-26/03_Messaging_und_Vertrieb/Consultry_Kernsaetze_Zahlenkarte.pdf,5287,fde8585594354b37308cde4bf2d0e7c77d7dae0cd5072b2d4c60760b92187d70,
Consultry_Handover_Paket_2026-08-26/02_Reviews_und_QA/Consultry_Deck_Grill_Angels.md,9423,3b045fb71e6733a744d3a3b8a5dcdf5c3cd81ce25de5d00ac2043e94da8a8a82,archive/handover-2026-08-26/02_Reviews_und_QA/Consultry_Deck_Grill_Angels.md
Consultry_Handover_Paket_2026-08-26/02_Reviews_und_QA/Consultry_PPT_Investor_Abgleich.html,25641,c6e9c3ab80347ba48869ce6c5154cfad0f62723d8b9c269e9a19f32baf88bb15,archive/handover-2026-08-26/02_Reviews_und_QA/Consultry_PPT_Investor_Abgleich.html
Consultry_Handover_Paket_2026-08-26/02_Reviews_und_QA/Consultry_Deck_Grill_Website.html,23184,c727fb47a4cd498446ec32539ca2771753876917667788d88af7cc0e2582e72e,archive/handover-2026-08-26/02_Reviews_und_QA/Consultry_Deck_Grill_Website.html
Consultry_Handover_Paket_2026-08-26/02_Reviews_und_QA/Consultry_Deck_Sprachpass.html,18336,53a0d6d4e79ef3d559f2619d735e38a5e32e7de2d387c199e81dc1785747a254,archive/handover-2026-08-26/02_Reviews_und_QA/Consultry_Deck_Sprachpass.html
Consultry_Handover_Paket_2026-08-26/02_Reviews_und_QA/Consultry_Deck_Grill_v2.html,33104,e248f4dfe097f1069d7b7aaec7ab945dd6465107662a394dcc3fe3b6a4192ad6,archive/handover-2026-08-26/02_Reviews_und_QA/Consultry_Deck_Grill_v2.html
Consultry_Handover_Paket_2026-08-26/02_Reviews_und_QA/Consultry_Deck_Grill_v3.html,24947,b73c32af40e5e3861b0b38544fb4285fc84535786f1fc2a2a8e199c0c22ac5a0,archive/handover-2026-08-26/02_Reviews_und_QA/Consultry_Deck_Grill_v3.html
Consultry_Handover_Paket_2026-08-26/05_Grundlagen_Architektur_Markt/Consultry_Datengrenze_Architektur.md,22039,47d6a93b5f2a76a3691ffc9b26e9d7e43eb339c1e33802bd1fc622f928e31513,archive/handover-2026-08-26/05_Grundlagen_Architektur_Markt/Consultry_Datengrenze_Architektur.md
Consultry_Handover_Paket_2026-08-26/05_Grundlagen_Architektur_Markt/Consultry_Bauplan_und_Preisueberschlag.md,28139,8431765062fbc1d667a66a616cfc247492638d1140888756ff1391cf28a3dce9,archive/handover-2026-08-26/05_Grundlagen_Architektur_Markt/Consultry_Bauplan_und_Preisueberschlag.md
Consultry_Handover_Paket_2026-08-26/05_Grundlagen_Architektur_Markt/Consultry_Vision_geschaerft.md,24468,f6af7955ea5b6c4c4a4bd78517a2efc70736ecfe56ffdfc2cc4eac901dea37a2,archive/handover-2026-08-26/05_Grundlagen_Architektur_Markt/Consultry_Vision_geschaerft.md
