path,bytes,modified_utc,proposal,snapshot,sha256
.gitignore,2589,2026-08-10T19:56:57.248812+00:00,einzeln_pruefen,,
CLAUDE.md,7774,2026-08-10T15:32:47.879562+00:00,einzeln_pruefen,archive/repo/CLAUDE.md,0810b0e2e67aeb3bc0375dbb86fd0fea994d87841c56ea0b89c0bcc6609be383
Consultry_Pitchdeck_vFML_isdas_geiel.html,852872,2026-08-15T20:04:43.749552+00:00,pitch_vorgaenger_paket26aug_ist_neuer,archive/repo/Consultry_Pitchdeck_vFML_isdas_geiel.html,6d1190f19a0ec5d3c8f22ac05030a4f98976fb8d792a0daf583f958e5a2a26c1
EXAMPLE_FinancialPlanning_Sheet.xlsx,59345,2026-06-01T20:25:02.021079+00:00,finance_track_separat_behalten,,
OmniSEC_FinancialPlanning_Sheet.xlsx,59363,2026-08-10T15:32:47.879792+00:00,finance_track_separat_behalten,,
.codex-artifacts/lighthouse/desktop.json,722158,2026-04-15T20:00:15.171228+00:00,einzeln_pruefen,,
.codex-artifacts/lighthouse/home-mobile-after-2.json,573058,2026-04-15T20:19:47.402674+00:00,einzeln_pruefen,,
.codex-artifacts/lighthouse/home-mobile-after.json,571938,2026-04-15T20:18:47.257877+00:00,einzeln_pruefen,,
.codex-artifacts/lighthouse/home-mobile-final.json,574523,2026-04-15T20:20:43.656027+00:00,einzeln_pruefen,,
.codex-artifacts/lighthouse/mobile.json,731040,2026-04-15T19:59:50.880366+00:00,einzeln_pruefen,,
.codex-artifacts/lighthouse/produkt-mobile-after-2.json,855733,2026-04-15T20:19:47.564997+00:00,einzeln_pruefen,,
.codex-artifacts/lighthouse/produkt-mobile-after.json,856120,2026-04-15T20:18:48.354129+00:00,einzeln_pruefen,,
.codex-artifacts/lighthouse/produkt-mobile-final.json,853641,2026-04-15T20:20:43.855816+00:00,einzeln_pruefen,,
.codex-artifacts/lighthouse/tablet.json,768336,2026-04-15T20:00:02.924405+00:00,einzeln_pruefen,,
Claude Skills/consultry-brand-voice-v2.skill,9137,2026-04-14T19:39:21.061935+00:00,einzeln_pruefen,,
Claude Skills/consultry-brand-voice-v3.3.skill,66685,2026-04-17T16:17:13.950893+00:00,einzeln_pruefen,,
Claude Skills/consultry-brand-voice-v3.skill,19874,2026-04-16T19:20:10.262983+00:00,einzeln_pruefen,,
Claude Skills/consultry-brand-voice.skill,36061,2026-04-18T16:03:45.954299+00:00,einzeln_pruefen,,
Consultry APP UI Mockups/.thumbnail,6982,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/CLAUDE.md,1009,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/Composer.dc.html,13249,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/CoworkPanel.dc.html,17839,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/DecisionBar.dc.html,11485,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/ShellNav.dc.html,23975,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/TrustDrawer.dc.html,8275,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/artefakt-entscheidungsgrundlage.dc.html,36694,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/commercials.dc.html,23633,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/kontrollebene-ki.dc.html,38044,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/kunde-hansa.dc.html,26630,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/kunden.dc.html,31053,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/meine-arbeit.dc.html,22634,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/menschen-teams.dc.html,13999,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/operations.dc.html,19456,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/outcome-learning.dc.html,8947,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/pane.js,2069,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/projekt-erp.dc.html,51916,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/projekte.dc.html,33789,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/state.js,4343,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,archive/repo/Consultry APP UI Mockups/state.js,7f2403cabf82a757a8c874b1e3975585f671dced4e27b106bd5f9b4adaad4df7
Consultry APP UI Mockups/support.js,69150,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/systemkarte.dc.html,34827,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/vorgang-ausschreibung.dc.html,82748,2026-08-10T15:20:00+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/vorgang-bestandskunde.dc.html,36566,2026-08-10T15:20:00+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/vorgang-delivery-workspace.dc.html,114010,2026-08-10T15:20:00+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/vorgang-widerspruch.dc.html,114010,2026-08-10T15:20:00+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/wissen-assets.dc.html,23733,2026-08-10T15:20:00+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/_adherence.oxlintrc.json,90313,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/_ds_bundle.js,2141200,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
Consultry APP UI Mockups/_ds/consultry-app-design-system-updated-b50f67e2-2578-4583-b24b-69ffec635271/_ds_manifest.json,64298,2026-08-10T15:19:55+00:00,medien_und_prototypen_geparkt_archivkandidat,,
