path,snapshot,title,status,closure,proposal_group,target,proposal
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/approve-the-definition-complete-three-slice-technical-poc-handoff.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/approve-the-definition-complete-three-slice-technical-poc-handoff.md,Approve the Definition-complete Three-Slice Technical PoC Handoff,open,,alte_mock_route_kennzeichnen,PRODUCT.md / DECISIONS.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/approve-the-product-definition-handoff.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/approve-the-product-definition-handoff.md,Approve the product and business-domain handoff,open,,durch_konsolidierung_verkuerzen,PRODUCT.md / DECISIONS.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/choose-context-assertion-temporality-for-the-mvp.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/choose-context-assertion-temporality-for-the-mvp.md,Choose Context Assertion temporality for the MVP,closed,,historische_resolution_aussagebezogen_pruefen,PRODUCT.md / DECISIONS.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/choose-the-architecture-and-data-adr-set.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/choose-the-architecture-and-data-adr-set.md,Choose the Architecture and Data ADR delta set,closed,out-of-scope,historische_resolution_aussagebezogen_pruefen,PRODUCT.md / DECISIONS.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/choose-the-mvp-kernel-persistence-boundary.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/choose-the-mvp-kernel-persistence-boundary.md,Choose the MVP kernel persistence boundary,closed,out-of-scope,historische_resolution_aussagebezogen_pruefen,PRODUCT.md / DECISIONS.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/choose-the-tenant-extension-model.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/choose-the-tenant-extension-model.md,Define the consultancy implementation and configuration experience,open,,onboarding_am_ersten_fall,PRODUCT.md / BACKEND-START.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/complete-the-final-product-traceability-matrix.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/complete-the-final-product-traceability-matrix.md,Complete the Final Product Traceability Matrix,open,,durch_konsolidierung_verkuerzen,PRODUCT.md / DECISIONS.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/confirm-client-contract-as-the-business-term.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/confirm-client-contract-as-the-business-term.md,Confirm Client Contract as the business term,closed,,historische_resolution_aussagebezogen_pruefen,PRODUCT.md / DECISIONS.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/confirm-project-status-authority.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/confirm-project-status-authority.md,Confirm Project Status authority,closed,,historische_resolution_aussagebezogen_pruefen,PRODUCT.md / DECISIONS.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/confirm-the-proposal-aggregate-lifecycle.md,archive/repo/product-definition/latest/wayfinder/consultry-product-platform-baseline/tickets/confirm-the-proposal-aggregate-lifecycle.md,Specify the Opportunity-to-Project Representative Business Thread,closed,,historische_resolution_aussagebezogen_pruefen,PRODUCT.md / DECISIONS.md,Unverbindliche Einordnung; Originalstatus bewahren. Siehe DECISIONS.md und review/ARCHIVPLAN.md
